id;descripcio;nogis;uso;nivel;N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad ;Permiso_salud;Vigencia_p;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_persona;Distrito;Canton;Este;Norte;Longitud;Latitud
11126;PREDIO ORDINARIO;313005000;;0;67;SALA DE BELLEZA MARIA;17965;7/12/1999;COM;Salon de belleza / Barberia;67;;;0;NO;1;0;0;313005000;496355;;1;POZOS, DE LA IGLESIA 395 NORTE.;;1-161737-1994;Fisica;POZOS;SANTA ANA;479209.17;1100574.46;9.9532;-84.18962
12054;PREDIO ORDINARIO;126134000;;0;708;PELUQUERIA HAIR TECH;18769;4/8/2000;COM;Salon de belleza / Barberia;708;;NL;0;NO;1;0;805;126134000;125154;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 NORTE.;;1-1557743-2012;Fisica;POZOS;SANTA ANA;480141.52;1098449.7;9.93399;-84.18111
2089;PREDIO ORDINARIO;530104000;;0;246;SALON DE BELLEZA TITI;17048;24/3/2006;COM;Salon de belleza / Barberia;014-2020;8/1/2025 00:00;;0;SI;1;0;803;530104000;484653;;0;COSTADO SUR DE LA INTERSECCION DE AVENIDA 00 CON CALLE 28. CALLE TITI.;;1-339282-1996;Fisica;URUCA;SANTA ANA;478737.44;1098174.61;9.9315;-84.19391
11840;PREDIO ORDINARIO;102010000;;0;462;SALON IRIABEL;3867;17/2/2018;COM;Salon de belleza / Barberia;462;;;0;SI;1;0;0;102010000;292986;;2;SANTA ANA, DE LA ENTRADA A CALLE PORTACELLI 100 m OESTE.;;1-686966-1987;Fisica;SANTA ANA;SANTA ANA;479675.79;1098884.04;9.93792;-84.18536
1406;CONDOMINIO PLAZA SANTA ANA EXPRESS;128004002;COMERCIAL;0;471;FARMACIA FISCHEL;107362;3/2/1992;COM;Salud;471;;;0;NO;1;0;389;128004002;56951;;0;SANTA ANA CENTRO, COSTADO ESTE DE LA CRUZ ROJA, COND. PLAZA EXPRESS, FILIAL # 2;F;1-1127084-2007;Juridica;SANTA ANA;SANTA ANA;479384.98;1098401.91;9.93356;-84.18801
5280;PREDIO ORDINARIO;311356000;;0;472;FARMACIA FISCHEL;107362;24/9/1996;COM;Salud;CS-ARS-SA-286-2014;18/8/2015 00:00;;0;NO;1;0;389;311356000;571952;;0;POZOS, DE MATRA 307 NORTE, AUTOMERCADO.;;1-1021901-2005;Juridica;POZOS;SANTA ANA;478733.66;1100670.8;9.95407;-84.19396
350;PREDIO ORDINARIO;200099000;;0;48;REPUESTOS RANDALL;13471;13/3/1985;COM;Talleres;2;13/10/1987 00:00;;0;NO;1;0;203;200099000;320398;;0;BRASIL, DE SWISS TRAVEL 761 OESTE.;;1-1707942-2013;Fisica;BRASIL;SANTA ANA;474495.78;1098481.27;9.93425;-84.2326
10872;PREDIO ORDINARIO;322057000;;0;536;MUEBLES MIGUEL;7533;2/12/1999;COM;Talleres;536;;NL;0;SI;1;0;309;322057000;457602;;0;POZOS, DE LA CHISPA 355 NORTE Y 237 ESTE.;;1-393578-1997;Fisica;POZOS;SANTA ANA;479724.28;1099736.16;9.94562;-84.18492
2542;PREDIO ORDINARIO;537018000;;0;514;EBANISTERIA MIGUEL;13880;20/3/2006;COM;Talleres;514;;;0;SI;1;0;309;537018000;287791;;0;URUCA, DE LA INTERSECCION DE AVENIDA 06A CON CALLE 20, 432 MTS. SUR.;;1-361862-1979;Fisica;URUCA;SANTA ANA;479635.95;1097387.11;9.92438;-84.18571
1028;PREDIO ORDINARIO;124160000;;0;414;SERVICIOS ELECTRONICOS DIAZ;200897;1/7/1991;COM;Talleres;414;;;0;NO;1;0;0;124160000;350828;;0;SANTA ANA, CENTRO, DE AGROSALITRE 60 SUR.;;1-719936-1987;Juridica;SANTA ANA;SANTA ANA;480203.56;1098057.75;9.93045;-84.18054
